municipio_id,ibi_urbana_rd_20_2011,year
2001,2012,0.693
2002,2012,0.416
2003,2012,0.405
2004,2012,0.4
2005,2012,0.416
2006,2012,0.5
2007,2012,0.572
2008,2012,0.45
2009,2012,0.99
2010,2012,0.47
2011,2012,0.624
2012,2012,0.5
2013,2012,0.5
2014,2012,0.55
2015,2012,0.55
2016,2012,0.5
2017,2012,0.52
2018,2012,0.5
2019,2012,0.4
2020,2012,0.676
2021,2012,0.5
2022,2012,0.416
2023,2012,0.5
2024,2012,0.6784
2025,2012,0.682
2026,2012,0.5
2027,2012,0.4
2028,2012,0.5
2029,2012,0.54
2030,2012,0.689
2031,2012,0.66
2032,2012,0.7
2033,2012,0.55
2034,2012,0.825
2035,2012,0.696
2036,2012,0.66
2037,2012,1.093
2038,2012,0.55
2039,2012,0.395
2040,2012,0.5
2041,2012,0.6
2042,2012,0.66
2043,2012,0.5
2044,2012,0.66
2045,2012,0.5
2046,2012,0.52
2047,2012,0.5
2048,2012,0.48
2049,2012,0.66
2050,2012,0.65
2051,2012,0.4
2052,2012,0.624
2053,2012,0.66
2054,2012,0.715
2055,2012,0.6
2056,2012,0.52
2057,2012,0.5
2058,2012,0.5
2059,2012,0.572
2060,2012,0.781
2061,2012,0.52
2062,2012,0.605
2063,2012,0.5
2064,2012,0.4
2065,2012,0.52
2066,2012,0.737
2067,2012,0.55
2068,2012,0.676
2069,2012,0.66
2070,2012,0.7
2071,2012,0.62
2072,2012,0.4
2073,2012,0.517
2074,2012,0.66
2075,2012,0.49
2076,2012,0.52
2077,2012,0.416
2078,2012,0.67
2079,2012,0.5
2080,2012,0.4
2081,2012,0.924
2082,2012,0.88
2083,2012,0.416
2084,2012,0.5
2085,2012,0.416
2086,2012,0.8
2901,2012,0.46
3001,2012,0.66
3002,2012,0.58
3003,2012,0.66
3004,2012,0
3005,2012,1.111
3006,2012,0.605
3007,2012,0.7
3008,2012,0.728
3009,2012,1.155
3010,2012,0.6
3011,2012,0.99
3012,2012,1.045
3013,2012,0.77
3014,2012,0.847
3015,2012,0.53
3016,2012,0.77
3017,2012,0
3018,2012,0.58
3019,2012,1.092
3020,2012,0.99
3021,2012,0.88
3022,2012,0.693
3023,2012,0.92
3024,2012,0.75
3025,2012,0.5
3026,2012,0.715
3027,2012,0.5
3028,2012,0.52
3029,2012,0
3030,2012,0.689
3031,2012,0.825
3032,2012,0.693
3033,2012,0.66
3034,2012,0.624
3035,2012,0.748
3036,2012,0.99
3037,2012,0.71
3038,2012,0.4
3039,2012,0.935
3040,2012,0.715
3041,2012,0.6148
3042,2012,0.935
3043,2012,0.88
3044,2012,0.693
3045,2012,0.6
3046,2012,0.795
3047,2012,0.88
3048,2012,0.67
3049,2012,0
3050,2012,0.66
3051,2012,0.8
3052,2012,0.66
3053,2012,0.845
3054,2012,0.825
3055,2012,0.715
3056,2012,1.045
3058,2012,0.792
3059,2012,0.9295
3060,2012,0.88
3061,2012,0.7
3062,2012,0.78
3063,2012,1.155
3064,2012,0.5
3065,2012,0.891
3066,2012,1.182
3067,2012,0.781
3069,2012,1.045
3070,2012,0
3071,2012,1.1
3073,2012,0.77
3074,2012,0
3075,2012,1.1
3076,2012,0.825
3077,2012,0.8
3078,2012,0.85
3079,2012,0.575
3080,2012,0.715
3081,2012,0.825
3082,2012,0.617
3083,2012,1.018
3084,2012,0.742
3085,2012,0.66
3086,2012,0
3088,2012,0.905
3089,2012,1.11
3090,2012,0.728
3091,2012,0.78
3092,2012,0
3093,2012,1
3094,2012,0.795
3095,2012,0.99
3096,2012,0.77
3097,2012,0.94
3098,2012,0.77
3099,2012,0.825
3100,2012,0.88
3101,2012,0.6123
3102,2012,1.16
3103,2012,0.759
3104,2012,1.067
3105,2012,0.803
3106,2012,0.6144
3107,2012,0.77
3109,2012,0.77
3110,2012,0.66
3111,2012,0.636
3112,2012,0.715
3113,2012,0.715
3114,2012,0.86
3115,2012,0.6
3116,2012,0.748
3117,2012,0.88
3118,2012,0.935
3119,2012,0.848
3120,2012,0.77
3121,2012,0.7293
3122,2012,1.0615
3123,2012,1.0303
3124,2012,0.6
3125,2012,0.88
3127,2012,0.825
3128,2012,0.65
3129,2012,0.795
3130,2012,0.935
3131,2012,0.5
3132,2012,0.721
3133,2012,0.5
3134,2012,0.624
3135,2012,0.5
3136,2012,0.75
3137,2012,0
3138,2012,1.21
3139,2012,0.5
3140,2012,0.836
3901,2012,1.1
3902,2012,0.583
3903,2012,0.66
3904,2012,0.5
4001,2012,0.636
4002,2012,0.53
4003,2012,0.9
4004,2012,0.7
4005,2012,0.624
4006,2012,0.825
4007,2012,0.624
4008,2012,0.4
4009,2012,0.416
4010,2012,0.6
4011,2012,0.636
4012,2012,0.5
4013,2012,0.49
4014,2012,0.6
4015,2012,0.416
4016,2012,0.46
4017,2012,0.53
4018,2012,0.4
4019,2012,0.5
4020,2012,0.416
4021,2012,0.5
4022,2012,0.43
4023,2012,0.6
4024,2012,0.65
4026,2012,0.5
4027,2012,0.5
4028,2012,0.624
4029,2012,0.676
4030,2012,0.48
4031,2012,0.55
